PopFilterCapabilities:: 0x5e30e4
PopUmpoInitializeChannel:: 0xa7ae7c
AslpFileGetImageNtHeader$filt$0:: 0x977574
PopEtGetProcessSidAndPackageIdentity:: 0x6eb544
SeInitSystem:: 0xa5336c
PspEnforceLimits:: 0x6943dc
SeCopyClientToken:: 0x6e6d5c
KeBalanceSetManager:: 0x3a3370
MiUnmapImageInSystemSpace:: 0x645b9c
PsGetEffectiveContainerId:: 0x333920
PiCMGetDeviceInterfaceAlias:: 0x71b334
RtlpHpSegMgrCommitInitiate:: 0x26c83c
ExpGetSystemFlushInformation:: 0x6fce50
EtwpCoverageRecord:: 0x7052b4
PopHandleNextState:: 0x99ebe0
SdbInitDatabaseInMemory:: 0x744380
MiGetPageTablesForLargeMap:: 0x3a29f4
MiMakeSystemCacheRangeValid:: 0x28ee40
PspCallProcessNotifyRoutines:: 0x6613dc
KiUpdateStibpPairing:: 0x3025a0
IopAddTriageDumpDataBlock:: 0x3b5788
_CmGetMatchingFilteredDeviceInterfaceListWorker:: 0x79f878
EtwpTraceImageUnloadApc:: 0x33c830
MiMirrorAddPagesToBrownList:: 0x370670
CcWaitForCurrentLazyWriterActivityInternal:: 0x36c74c
PnpFixupID:: 0x730ca8
PopHandleWakeSources:: 0x9a38b0
PipClearDevNodeUserFlags:: 0x732dcc
CmpDelayDerefKeyControlBlock:: 0x624c1c
KeSetEvent:: 0x23e1a0
KeInvalidateAllCaches:: 0x34ed00
EtwTraceSiloKernelEvent:: 0x27e95c
IopWaitForSynchronousIo:: 0x2efc58
PsInsertPermanentSiloContextEx:: 0x6d97c4
PfpOpenHandleCreate:: 0x6a0a58
RtlUpdateSwapReference:: 0x788950
PoDiagCaptureUsermodeStack:: 0x637378
NtCreateRegistryTransaction:: 0x70ee90
HalpIsMicrosoftCompatibleHvLoaded:: 0x38c648
MiGetTopLevelPfn:: 0x25eaa0
NtQueryDefaultLocale$filt$0:: 0x7d8ebc
ExSetTimer:: 0x205540
FsRtlSendModernAppTermination:: 0x365b30
HalpInterruptRestoreAllControllerState:: 0x9a3140
PfSnActivateTrace:: 0x271f08
MiMapDummyPages:: 0xa7c230
HalPutScatterGatherList:: 0x3203c0
SmHpBufferUpdateFullness:: 0x25f598
KeExitRetpoline:: 0x31a2d4
