WHEA_RECORD_CREATOR_GUID:: 0x1aee20
VfErrorReport4:: 0x504390
RtlpRegTziFormatToTzi:: 0x3e99d0
PopIsAddressRangeValid:: 0x124490
SmEventCacheTermination:: 0x1afbe0
??_C@_15PEBPINNB@?$AAa?$AAs?$AA?$AA@:: 0x1b4c48
CcWorkerThread:: 0x634b0
CmpHiveFileListHandle:: 0x1ffeb0
ZwQuerySystemInformationEx:: 0x6a380
DownLevelLanguageNameToLangID:: 0x1056f0
??_C@_1BA@JILCHCMP@?$AAN?$AAT?$AAO?$AAS?$AAP?$AAN?$AAP?$AA?$AA@:: 0x1b0dc0
??_C@_1O@NMOFFKFA@?$AA?$CG?$AAP?$AAr?$AAo?$AAd?$AA_?$AA?$AA@FNODOBFM@:: 0xacda0
RtlStringCchCatW:: 0x10ff40
KeContextToKframes:: 0x6f970
MmMapUserAddressesToPage:: 0x2b27a0
AdtpBuildUserAccountControlString:: 0x393a68
